STUSPS,latitude,longitude,FIPS,name,AREAKM,POP2014,POPDENSITYKM2,radius
AL,32.799,-86.8073,1,Alabama,135767.35,4849377,35.72,20
AK,64.58147,-152.2265,2,Alaska,1723338.01,736732,0.43,70
AZ,34.241916,-111.520801,4,Arizona,295232.03,6731484,22.8,50
AR,34.9513,-92.3809,5,Arkansas,137731.8,2966369,21.54,20
CA,37.059064,-120.771077,6,California,423966.95,38802500,91.52,60
CO,39.0646,-105.3272,8,Colorado,269603.89,5355866,19.87,50
CT,41.5834,-72.7622,9,Connecticut,14357.38,3596677,250.51,10
DE,39.3498,-75.5148,10,Delaware,6445.85,935614,145.15,10
DC,38.8964,-77.0262,11,District of Columbia,177,658893,3722.59,2
FL,27.8333,-81.717,12,Florida,170311.03,19893297,116.81,70
GA,32.308515,-83.168288,13,Georgia,153910.58,10097343,65.61,30
HI,19.6781,-155.5664,15,Hawaii,28411.86,1419561,49.96,10
ID,43.530375,-114.648415,16,Idaho,216440.45,1634464,7.55,30
IL,40.3363,-89.0022,17,Illinois,149995.5,12880580,85.87,30
IN,39.8647,-86.2604,18,Indiana,94326.43,6596855,69.94,20
IA,42.0046,-93.214,19,Iowa,145745.45,3107126,21.32,30
KS,38.486352,-98.248249,20,Kansas,213099.58,2904021,13.63,30
KY,37.669,-84.6514,21,Kentucky,104655.74,4413457,42.17,20
LA,30.474156,-92.480644,22,Louisiana,135651.12,4649676,34.28,20
ME,45.677767,-68.830571,23,Maine,91634.34,1330089,14.52,30
MD,39.0724,-76.7902,24,Maryland,32131.02,5976407,186,10
MA,42.34597,-71.999339,25,Massachusetts,27335.74,6745408,246.76,10
MI,43.3504,-84.5603,26,Michigan,250486.66,9909877,39.56,30
MN,46.551089,-94.493364,27,Minnesota,225160.92,5457173,24.24,30
MS,32.7673,-89.6812,28,Mississippi,125460.36,2994079,23.86,30
MO,38.4623,-92.302,29,Missouri,180540.22,6063589,33.59,30
MT,46.9048,-110.3261,30,Montana,380832.97,1023579,2.69,80
NE,41.433878,-99.695354,31,Nebraska,200328.72,1881503,9.39,30
NV,39.984194,-116.611436,32,Nevada,286379.96,2839099,9.91,30
NH,43.4108,-71.5653,33,New Hampshire,24214.22,1326813,54.79,10
NJ,40.314,-74.5089,34,New Jersey,22591.52,8938175,395.64,10
NM,34.329862,-106.003354,35,New Mexico,314917.1,2085572,6.62,40
NY,43.189522,-75.909537,36,New York,141296.64,19746227,139.75,30
NC,35.314309,-78.145853,37,North Carolina,139390.64,9943964,71.34,20
ND,47.5362,-99.793,38,North Dakota,183110.99,739482,4.04,30
OH,40.3736,-82.7755,39,Ohio,116097.69,11594163,99.87,20
OK,35.5376,-96.9247,40,Oklahoma,181037.09,3878051,21.42,30
OR,43.616249,-120.549021,41,Oregon,254799.55,3970239,15.58,60
PA,40.846861,-77.638797,42,Pennsylvania,119280.14,12787209,107.2,30
RI,41.6772,-71.5101,44,Rhode Island,4001.23,1055173,263.71,5
SC,33.8191,-80.9066,45,South Carolina,82932.66,4832482,58.27,30
SD,44.2853,-99.4632,46,South Dakota,199729.2,853175,4.27,30
TN,35.7449,-86.7489,47,Tennessee,109153.01,6549352,60,20
TX,31.350112,-99.0228,48,Texas,695661.86,26956958,38.75,70
UT,39.127432,-111.558047,49,Utah,219884.95,2942902,13.38,30
VT,44.0407,-72.7093,50,Vermont,24906.61,626562,25.16,10
VA,37.768,-78.2057,51,Virginia,110786.54,8326289,75.16,20
WA,47.3917,-121.5708,53,Washington,184661.12,7061530,38.24,60
WV,38.468,-80.9696,54,West Virginia,62756.05,1850326,29.48,20
WI,44.2563,-89.6385,55,Wisconsin,169634.93,5757564,33.94,20
WY,42.7475,-107.2085,56,Wyoming,253326.3,584153,2.31,30
